Name,Platform,Location,Environment,Module,Description,Cores,Memory,Prov Total (GB),Used Total (GB),Prov,Used,Available (GB),Used (GB),Logs (GB),Cluster/Blade,,,,,,,,
nl-fldi-00918,Linux,DISC,Dev1,Shared,Dev1 - Shared - Park Oracle RAC #1,8,96,,,,,,,,nge-t1-c7kb16,,,,,,,,
nl-fldi-00919,Linux,DISC,Dev1,Shared,Dev1 - Shared - Park Oracle RAC #2,8,96,,,,,,,,nge-t2-c7kb16,,,,,,,,
nl-fldi-01002,Linux,DISC,Prod,Shared,Prod - Shared - Oracle Standby RAC Node #1,20,512,,,,,,,,nge-a1-c7kb01,,,,,,,,
nl-fldi-01003,Linux,DISC,Prod,Shared,Prod - Shared - Oracle Standby RAC Node #2,20,512,,,,,,,,nge-a2-c7kb01,,,,,,,,
nl-fldi-01504,Linux,DISC,Prod,Shared,Prod - Shared - APIM Physical #1,12,96,,,,,,,,nge-p3-c7kb13,,,,,,,,
nl-fldi-01505,Linux,DISC,Prod,Shared,Prod - Shared - APIM Physical #2,12,96,,,,,,,,nge-p4-c7kb13,,,,,,,,
nl-fldi-01571,Linux,DISC,Prod,Shared,Prod - Shared - Oracle Core RAC Node #3,20,512,,,,,,,,nge-p3-c7kb02,,,,,,,,
nl-fldi-01572,Linux,DISC,Prod,Shared,Prod - Shared - Oracle Core RAC Node #4,20,512,,,,,,,,nge-p4-c7kb02,,,,,,,,
fldcppcldo5875a,Linux,DISC,Prod,Shared,Prod - Shared - Oracle BL660 Cluster Node #5,32,512,,,,,,,,nge-a1-c7kb02,,,,,,,,
fldcppcldo5875b,Linux,DISC,Prod,Shared,Prod - Shared - Oracle BL660 Cluster Node #6,32,512,,,,,,,,nge-a2-c7kb02,,,,,,,,
nl-fldi-01000,Linux,DISC,Prod,Shared,Prod - Shared - Oracle BL660 Standby RAC Node #3,32,512,,,,,,,,nge-p3-c7kb01,,,,,,,,
nl-fldi-01001,Linux,DISC,Prod,Shared,Prod - Shared - Oracle BL660 Standby RAC Node #4,32,512,,,,,,,,nge-p4-c7kb01,,,,,,,,
nl-flep-00001,Linux,EPCOT,Prod,Shared,Prod - Shared - EPCOT Oracle RAC Node #1 (ngelnx18-scan),12,96,,,,,,,,nge-e1-c7kb01,,,,,,,,
nl-flep-00002,Linux,EPCOT,Prod,Shared,Prod - Shared - EPCOT Oracle RAC Node #2 (ngelnx18-scan),12,96,,,,,,,,nge-e2-c7kb01,,,,,,,,
nl-flep-00003,Linux,EPCOT,Prod,Shared,Prod - Shared - EPCOT Oracle RAC Node #3 (ngelnx18-scan),12,96,,,,,,,,nge-e1-c7kb09,,,,,,,,
nl-flep-00004,Linux,EPCOT,Prod,Shared,Prod - Shared - EPCOT Oracle RAC Node #4 (ngelnx18-scan),12,96,,,,,,,,nge-e2-c7kb09,,,,,,,,
nl-flfa-00458,Linux,Release Lab,VICE,Shared,VICE - Shared - Oracle Lab RAC #1,8,72,,,,,,,,nge-i1-c7kb01,,,,,,,,
nl-flfa-00459,Linux,Release Lab,VICE,Shared,VICE - Shared - Oracle Lab RAC #2,8,72,,,,,,,,nge-i1-c7kb02,,,,,,,,
nl-flhs-00001,Linux,Hollywood Studios,Prod,Shared,Prod - Shared - DHS Oracle RAC Node #1 (ngelnx19-scan),12,96,,,,,,,,nge-h1-c7kb01,,,,,,,,
nl-flhs-00002,Linux,Hollywood Studios,Prod,Shared,Prod - Shared - DHS Oracle RAC Node #2 (ngelnx19-scan),12,96,,,,,,,,nge-h2-c7kb01,,,,,,,,
nl-flhs-00003,Linux,Hollywood Studios,Prod,Shared,Prod - Shared - DHS Oracle RAC Node #3 (ngelnx19-scan),12,96,,,,,,,,nge-h1-c7kb09,,,,,,,,
nl-flhs-00004,Linux,Hollywood Studios,Prod,Shared,Prod - Shared - DHS Oracle RAC Node #4 (ngelnx19-scan),12,96,,,,,,,,nge-h2-c7kb09,,,,,,,,
nl-flhs-00060,Linux,HS Alpha Lab,Alpha,Shared,Alpha - Shared - Aplha Lab Oracle RAC Node #1 (ngelnx23-scan),12,96,,,,,,,,nge-h3-c7kb01,,,,,,,,
nl-flhs-00061,Linux,HS Alpha Lab,Alpha,Shared,Alpha - Shared - Aplha Lab Oracle RAC Node #2 (ngelnx22-scan),12,96,,,,,,,,nge-h4-c7kb01,,,,,,,,
nl-flhs-00062,Linux,HS Alpha Lab,Alpha,Shared,Alpha - Shared - Aplha Lab Oracle RAC Node #3 (ngelnx23-scan),12,96,,,,,,,,nge-h3-c7kb09,,,,,,,,
nl-flhs-00063,Linux,HS Alpha Lab,Alpha,Shared,Alpha - Shared - Aplha Lab Oracle RAC Node #4 (ngelnx22-scan),12,96,,,,,,,,nge-h4-c7kb09,,,,,,,,
nl-flmk-00005,Linux,Magic Kingdom,Prod,Shared,Prod - Shared - MK Oracle RAC Node #1 (ngelnx10-scan),12,96,,,,,,,,nge-m1-c7kb01,,,,,,,,
nl-flmk-00006,Linux,Magic Kingdom,Prod,Shared,Prod - Shared - MK Oracle RAC Node #2 (ngelnx10-scan),12,96,,,,,,,,nge-m2-c7kb01,,,,,,,,
nl-flmk-00007,Linux,Magic Kingdom,Prod,Shared,Prod - Shared - MK Oracle RAC Node #3 (ngelnx11-scan),12,96,,,,,,,,nge-m1-c7kb09,,,,,,,,
nl-flmk-00008,Linux,Magic Kingdom,Prod,Shared,Prod - Shared - MK Oracle RAC Node #4 (ngelnx11-scan),12,96,,,,,,,,nge-m2-c7kb09,,,,,,,,
nm-flak-00002,Windows,Animal Kingdom,Prod,Shared,Prod - Shared - AK ComVault Agent,12,96,,,,,,,,nge-c2-c7kb12,,,,,,,,
nm-fldi-00085,Windows,DISC,Prod,Shared,Prod - Shared - DISC Comvault Media Agent,8,52,,,,,,,,nge-p1-c7kb13,,,,,,,,
nm-fldi-00094,Windows,DISC,INFRA,Shared,INFRA - Shared - ComVault Media Agent - Load/Test,8,96,,,,,,,,nge-ct-c7kb11,,,,,,,,
nm-fldi-00099,Windows,DISC,Load1,XI,Load1 - XI - Business Objects,12,96,,,,,,,,nge-l7-c7kb16,,,,,,,,
nm-fldi-00100,Windows,DISC,Load1,XI,Load1 - XI - Business Objects,12,96,,,,,,,,nge-l8-c7kb16,,,,,,,,
nm-fldi-00152,Windows,DISC,Prod,XI,Prod - XI - Business Objects #1,12,96,,,,,,,,nge-p3-c7kb16,,,,,,,,
nm-fldi-00153,Windows,DISC,Prod,XI,Prod - XI - Business Objects #2,12,96,,,,,,,,nge-p4-c7kb16,,,,,,,,
nm-fldi-00241,Windows,DISC,INFRA,Shared,INFRA - Shared - ComVault Media Agent - Load/Test,8,96,,,,,,,,nge-t1-c7kb14,,,,,,,,
nm-fldi-00242,Windows,DISC,INFRA,Shared,INFRA - Shared - ComVault Media Agent - Load/Test,8,96,,,,,,,,nge-t2-c7kb14,,,,,,,,
nm-fldi-00243,Windows,DISC,INFRA,Shared,INFRA - Shared - ComVault Media Agent - Load/Test,8,96,,,,,,,,nge-ct-c7kb12,,,,,,,,
nm-fldi-00244,Windows,DISC,INFRA,Shared,INFRA - Shared - ComVault Media Agent - Load/Test,8,96,,,,,,,,nge-ct-c7kb13,,,,,,,,
nm-fldi-00254,Windows,DISC,Prod,Shared,Prod - Shared - DISC Comvault Media Agent,12,96,,,,,,,,nge-p2-c7kb13,,,,,,,,
nm-fldi-00259,Windows,DISC,INFRA,Shared,INFRA - Shared - ComVault Media Agent - Load/Test,12,96,,,,,,,,nge-l7-c7kb14,,,,,,,,
nm-fldi-00266,Windows,DISC,INFRA,Shared,INFRA - Shared - ComVault Media Agent - Load/Test,8,96,,,,,,,,nge-ct-c7kb14,,,,,,,,
nm-fldi-00291,Windows,DISC,INFRA,Shared,INFRA - Shared - ComVault Media Agent - Load/Test,8,96,,,,,,,,nge-ct-c7kb09,,,,,,,,
nm-flep-00002,Windows,EPCOT,Prod,Shared,Prod - Shared - EP ComVault Agent,12,96,,,,,,,,nge-e2-c7kb12,,,,,,,,
nm-flfa-00038,Windows,Release Lab,VICE,Shared,VICE - Shared - Comvault Media Agent,12,48,,,,,,,,nge-l3-c7kb16,,,,,,,,
nm-flhs-00002,Windows,Hollywood Studios,Prod,Shared,Prod - Shared - DHS ComVault Agent,12,96,,,,,,,,nge-h2-c7kb12,,,,,,,,
nm-flmk-00039,Windows,Magic Kingdom,Prod,Shared,Prod - Shared - MK ComVault Agent,12,96,,,,,,,,nge-m2-c7kb12,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
analytics vm,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - VMware vCenter Operations Manager 5.6,8,21,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
analytics vm,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - VMware vCenter Operations Manager 5.8.1,4,14,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
clarity_pos_matra-template,Windows,DISC,Template,Template,Template - Template - Virtual Center Template,1,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
dr-test0,Linux,DISC,Test,Test,Test - Test - DR Testing Server,1,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-1,Linux,DISC,Test,Test,Test - Test - DR Testing Server,1,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-10,Windows,DISC,Test,Test,Test - Test - DR Testing Server,2,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-12,Windows,DISC,Test,Test,Test - Test - DR Testing Server,2,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-14,Windows,DISC,Test,Test,Test - Test - DR Testing Server,2,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-15,Linux,DISC,Test,Test,Test - Test - DR Testing Server,2,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-16,Windows,DISC,Test,Test,Test - Test - DR Testing Server,1,4,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-17,Linux,DISC,Test,Test,Test - Test - DR Testing Server,6,10,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-18,Windows,DISC,Test,Test,Test - Test - DR Testing Server,2,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-19,Linux,DISC,Test,Test,Test - Test - DR Testing Server,6,10,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-3,Windows,DISC,Test,Test,Test - Test - DR Testing Server,1,4,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-4,Windows,DISC,Test,Test,Test - Test - DR Testing Server,2,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-8,Linux,DISC,Test,Test,Test - Test - DR Testing Server,1,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
dr-test-9,Linux,DISC,Test,Test,Test - Test - DR Testing Server,6,10,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
esb_sonic-template,Linux,DISC,Template,Template,Template - Template - Virtual Center Template,1,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
f5_v10.1_appliance-template,Appliance,DISC,Template,Template,Template - Template - Virtual Center Template,1,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
hvava315,Windows,DISC,INFRA,Shared,INFRA - Shared - HP Jump Server #1,6,20,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-VICE,,,,,,,,
hvlux026,Linux,DISC,POC,Shared,POC - Shared - XML SF - Bruce Wilcox,4,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-VICE,,,,,,,,
ltm ve v11.4 - template,Appliance,DISC,Template,Template,Template - Template - Virtual Center Template,2,4,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00003,Appliance,DISC,INFRA,Shared,INFRA - Shared - BIG-IP Local Traffic Manager Virtual Edition,2,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00004,Appliance,DISC,INFRA,Shared,INFRA - Shared - F5 Enterprise Manager Virtual Edition,2,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00005,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - BIG-IP Local Traffic Manager Virtual Edition,2,4,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00006,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - BIG-IP Global Traffic Manager Virtual Edition,2,4,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00011,Appliance,DISC,INFRA,Shared,INFRA - Shared - BIG-IP Local Traffic Manager Virtual Edition,2,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00012,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for DISC Test Park p4500 Storage Cluster,1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00013,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for DISC Test Load p4500 Storage Cluster,1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00014,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for DISC Load p4800 Storage Cluster,1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00015,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for DISC Prod p4800 Storage Cluster,1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00016,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for Park EP p4500 Storage Cluster,1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00024,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for Park MK p4500 Storage Cluster,1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00025,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for DISC Media p4500 Storage Cluster,1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00026,Appliance,DISC,INFRA,Shared,INFRA - Shared - Vmware App Insight Manager,4,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00028,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for Park HS p4500 Storage Cluster,1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00033,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for Park AK p4500 Storage Cluster,1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00035,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for Park HS Alpha p4500 Storage Cluster,1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00040,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for Park AK1 p5400 Sotrage Cluster,2,3,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00041,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for Park HS1 p4500 Sotrage Cluster,2,3,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00042,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for Park MK1 p4500 Storage Cluster,2,3,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00043,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for Park EP1 p4500 Storage Cluster,2,3,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00044,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for VICE Lab p4500 Storage Cluster NGE-FAM-VICELAB,2,3,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00045,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for DISC Prod1 p4800 Storage Cluster,2,3,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00228,Linux,DISC,INFRA,INFRA,INFRA - INFRA - VMware TAM Data Manager - Contact: Ryan Johnson (ryan.johnson@vmware.com),1,1,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-00239,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - FOM for DISC Prod2 p4800 Storage Cluster,2,3,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-fldi-05918,Appliance,DISC,INFRA,Shared,INFRA - Shared - BIG-IP Local Traffic Manager Virtual Edition,2,4,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-INFRA,,,,,,,,
na-flep-00004,Linux,EPCOT,POC,POC,POC - POC - EP CAWiley TIM K. Palmer,4,10,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-Epcot,,,,,,,,
na-flfa-00002,Linux,Release Lab,RL,Shared,RL - Shared - BIG-IP Local Traffic Manager Virtual Edition,2,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DNPS,,,,,,,,
na-flfa-00005,Appliance,Release Lab,Alpha,POC,Alpha - POC - ExtraHop ECM,1,4,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DNPS,,,,,,,,
na-flhs-00001,Appliance,HS Alpha Lab,Alpha,Shared,Alpha - Shared - F5 Enterprise Manager Virtual Edition,2,2,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DHS2,,,,,,,,
na-flhs-00003,Appliance,Hollywood Studios,POC,POC,POC - POC - ExtraHop Appliance (VM-Group-A),6,6,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DHS2,,,,,,,,
na-flhs-00004,Appliance,Hollywood Studios,POC,POC,POC - POC - ExtraHop Appliance (VM-Group-B),6,6,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DHS2,,,,,,,,
na-flhs-00005,Appliance,HS Alpha Lab,Alpha,Infra,Alpha - Infra - VMware Strata Virtual Appliance,2,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DHS2,,,,,,,,
na-kmtc-00001,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - KMTC DR FOM p4800 NGE-KMTC-DR A-SIDE,2,3,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
na-kmtc-00002,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - KMTC DR FOM p4800 NGE-KMTC-DR B-SIDE,2,3,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
na-kmtc-00003,Appliance,DISC,INFRA,INFRA,INFRA - INFRA - KMTC DR FOM p4800 NGE-KMTC-DR A-B-SIDE,2,3,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DISCPROD,,,,,,,,
newton-test,Windows,DISC,INFRA,INFRA,INFRA - INFRA - Josh Newton test box,1,4,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-MK,,,,,,,,
nge-rlab-hudslvvmx64,Windows,DISC,RLAB,Shared,RLAB - Shared - TEST ENVIRONMENT,2,4,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DNPS,,,,,,,,
nge-rlab-tadm01vm,Linux,DISC,RLAB,Shared,RLAB - Shared - TEST ENVIRONMENT,2,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DNPS,,,,,,,,
nge-rlab-thud01vm,Linux,DISC,RLAB,Shared,RLAB - Shared - TEST ENVIRONMENT,2,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DNPS,,,,,,,,
nge-rlab-tsonar01vm,Linux,DISC,RLAB,Shared,RLAB - Shared - TEST ENVIRONMENT,4,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-DNPS,,,,,,,,
nl-flak-00009,Linux,Animal Kingdom,Prod,xConnect,Prod - xConnect - AK Park Entry 1 #1,2,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-AK,,,,,,,,
nl-flak-00010,Linux,Animal Kingdom,Prod,xConnect,Prod - xConnect - AK Park Entry 1 #2,2,8,0,0,0 GB,0 GB,0.00,0.00,0.00,NGE-CL-AK,,,,,,,,
